season,team,sp_overall,sp_offense,sp_defense,sp_st
2015,Northern Illinois,-0.9,26.1,25.4,-1.7
2015,Vanderbilt,-1.6,17.8,19.3,-0.1
2015,Maryland,-1.6,26.1,26.5,-1.2
2015,Central Michigan,-3.1,26.4,27.2,-2.3
2015,Syracuse,-3.9,30.0,33.2,-0.7
2015,Colorado,-4.0,25.8,28.5,-1.3
2015,San José State,-4.5,26.8,32.0,0.8
2015,Wake Forest,-4.5,19.8,25.2,0.9
2015,Middle Tennessee,-4.6,27.7,32.1,-0.1
2015,UConn,-6.3,18.1,23.9,-0.5
2015,Georgia State,-6.7,28.0,31.9,-2.7
2015,Troy,-7.0,24.5,31.9,0.5
2015,Louisiana,-7.1,24.2,32.1,0.8
2015,Nevada,-7.1,26.9,32.6,-1.3
2015,Purdue,-7.4,26.6,33.5,-0.5
2015,Tulsa,-8.5,32.4,41.2,0.4
2015,New Mexico,-8.7,24.9,34.8,1.3
2015,Massachusetts,-9.5,22.1,29.3,-2.3
2015,Florida Atlantic,-9.8,18.8,29.3,0.7
2015,Rutgers,-10.1,29.3,37.1,-2.3
2015,Oregon State,-10.1,25.9,35.3,-0.8
2015,Buffalo,-10.3,24.1,32.2,-2.2
2015,South Alabama,-10.4,24.3,33.4,-1.3
2015,Kent State,-11.9,10.6,21.3,-1.2
2015,Idaho,-12.2,30.7,44.4,1.6
2015,Fresno State,-12.6,19.6,32.8,0.6
2015,Miami (OH),-13.5,16.8,29.5,-0.8
2015,Tulane,-14.0,20.3,32.5,-1.8
2015,Rice,-14.6,24.0,37.9,-0.7
2015,UL Monroe,-14.7,18.4,32.9,-0.2
2015,Old Dominion,-14.8,22.5,37.5,0.2
2015,UCF,-15.5,16.3,33.7,1.8
2015,Ball State,-15.5,21.9,37.3,-0.1
2015,Texas State,-15.5,26.3,40.5,-1.4
2015,UNLV,-16.2,24.2,39.9,-0.5
2015,Hawai'i,-16.3,16.6,35.1,2.2
2015,Florida International,-16.6,21.7,36.5,-1.9
2015,Wyoming,-16.7,22.9,39.7,0.1
2015,SMU,-17.5,27.3,42.3,-2.6
2015,UTSA,-17.7,19.3,36.6,-0.3
2015,New Mexico State,-18.6,24.5,42.2,-0.9
2015,UTEP,-19.5,18.7,37.8,-0.4
2015,Eastern Michigan,-19.7,25.6,45.5,0.1
2015,Kansas,-21.3,20.2,40.6,-0.9
2015,Army,-21.7,20.3,39.0,-3.0
2015,Charlotte,-21.7,11.9,31.9,-1.7
2015,North Texas,-25.0,13.3,39.2,0.8
2015,nationalAverages,2.2265625,29.76328125,27.5265625,-0.0015625
